pYellow,Cost,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,QALY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,LY,Categorical Risk Assessment,NSC,Enhanced Clinical Observation,ICER ($/QALY),Categorical Risk Assessment,NSC,Enhanced Clinical Observation
0.1301244,,4377.840015,3796.660075,3773.356438,,29.07265838,29.07607484,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1309128,,4377.840015,3798.565749,3773.356438,,29.07265838,29.07606519,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1317012,,4377.840015,3800.471422,3773.356438,,29.07265838,29.07605553,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1324896,,4377.840015,3802.377096,3773.356438,,29.07265838,29.07604588,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.133278,,4377.840015,3804.28277,3773.356438,,29.07265838,29.07603623,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1340664,,4377.840015,3806.188444,3773.356438,,29.07265838,29.07602658,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1348548,,4377.840015,3808.094118,3773.356438,,29.07265838,29.07601692,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1356432,,4377.840015,3809.999791,3773.356438,,29.07265838,29.07600727,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.1364316,,4377.840015,3811.905465,3773.356438,,29.07265838,29.07599762,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
0.13722,,4377.840015,3813.811139,3773.356438,,29.07265838,29.07598797,29.07776981,,0.999961055,0.999961055,0.999961055,,Strongly Dominated (Baseline),Strongly Dominated,-100
